LISTING_NEIGHBOURHOOD,YEAR_MONTH,ACTIVE_LISTINGS_RATE,MIN_PRICE_ACT,MAX_PRICE_ACT,MEDIAN_PRICE_ACT,NUMBER_OF_DISTINCT_HOSTS,SUPER_HOST_RATE,AVG_REV_SCORE_ACT,PERCENTAGE_CHANGE_FOR_ACTIVE_LISTINGS,PERCENTAGE_CHANGE_FOR_INACTIVE_LISTINGS,TOTAL_NUMBER_OF_STAYS,AVERAGE_ESTIMATED_REVENUE_PER_ACTIVE_LISTINGS
Bayside,2020-05-01,100.000000,0,1000,86,1217,11.503700,92.035577,,,30715,2238.321608
Bayside,2020-06-01,100.000000,0,1999,84,1198,11.268800,92.093596,-1.758800,,30188,2240.600384
Bayside,2020-07-01,100.000000,0,1991,85,1040,13.269200,91.864929,-14.130400,,26077,2331.061057
Bayside,2020-08-01,100.000000,17,1500,79,1050,12.952400,92.009153,2.680600,,24915,1854.955765
Bayside,2020-09-01,100.000000,17,1286,78,1156,12.110700,92.105839,25.308200,,33197,1932.743056
Bayside,2020-10-01,100.000000,17,1250,78,1139,11.589100,92.087185,-12.500000,,30251,2047.240741
Bayside,2020-11-01,100.000000,14,1250,78,1114,11.579900,92.329361,-2.381000,,27908,2026.305556
Bayside,2020-12-01,100.000000,15,1250,80,1126,11.367700,92.124726,1.016300,,31796,2431.771965
Bayside,2021-01-01,100.000000,15,1250,80,1125,10.755600,92.107301,0.067100,,30908,2279.930295
Bayside,2021-02-01,99.729400,15,1827,80,1109,10.730400,92.029900,-1.206400,,28681,2252.156716
Bayside,2021-03-01,99.722800,15,1250,80,1103,10.426100,92.067720,-2.374500,0.000000,29081,2216.072272
Bayside,2021-04-01,99.230800,15,1250,80,1056,10.037900,92.248853,-1.389900,175.000000,28797,2259.737844
Blacktown,2020-05-01,100.000000,23,1099,63,239,12.970700,89.920398,,,3628,1037.927673
Blacktown,2020-06-01,100.000000,23,1099,63,234,13.675200,90.455026,-3.459100,,3816,1109.097720
Blacktown,2020-07-01,100.000000,23,1099,65.5,211,14.691900,90.345679,-13.029300,,3881,1307.692884
Blacktown,2020-08-01,100.000000,20,1000,60,214,13.551400,89.976471,4.868900,,3281,973.300000
Blacktown,2020-09-01,100.000000,20,1200,60,219,13.698600,91.130208,13.571400,,4074,1117.515723
Blacktown,2020-10-01,100.000000,18,1287,64,215,11.627900,91.224852,-11.949700,,4068,1465.117857
Blacktown,2020-11-01,100.000000,18,901,60.5,220,11.363600,91.059172,1.428600,,3393,1119.010563
Blacktown,2020-12-01,99.647900,22,901,61.5,216,11.574100,91.000000,-0.352100,,4393,1470.204947
Blacktown,2021-01-01,100.000000,22,901,61,211,10.426500,90.596591,-0.353400,-100.000000,4037,1295.244681
Blacktown,2021-02-01,99.636400,22,901,62.5,215,10.232600,90.856287,-2.836900,,3299,1086.328467
Blacktown,2021-03-01,98.161800,22,901,65,215,10.697700,91.843750,-2.554700,400.000000,3457,1236.947566
Blacktown,2021-04-01,95.985400,22,901,66,206,10.194200,92.019608,-1.498100,120.000000,3540,1327.680608
Burwood,2020-05-01,100.000000,15,399,70,168,11.309500,89.257143,,,4556,1510.901515
Burwood,2020-06-01,100.000000,14,400,69,164,10.975600,89.267442,-2.272700,,4148,1388.143411
Burwood,2020-07-01,100.000000,14,650,70,147,12.244900,88.939189,-11.627900,,3768,1395.706140
Burwood,2020-08-01,100.000000,15,530,65.5,152,10.526300,89.595238,7.456100,,3757,1272.820408
Burwood,2020-09-01,100.000000,15,530,68.5,158,10.126600,90.206731,20.000000,,4815,1345.591837
Burwood,2020-10-01,100.000000,15,530,66,163,9.202500,89.157609,-9.863900,,4367,1350.094340
Burwood,2020-11-01,100.000000,15,530,69.5,153,9.803900,89.736196,-4.150900,,3888,1248.625984
Burwood,2020-12-01,100.000000,16,530,70,151,9.933800,89.959064,-0.787400,,4599,1635.718254
Burwood,2021-01-01,100.000000,16,530,70,149,10.067100,89.971591,-0.396800,,4641,1636.167331
Burwood,2021-02-01,100.000000,16,530,70,145,9.655200,90.440476,-8.366500,,3999,1451.769565
Burwood,2021-03-01,100.000000,16,530,70,143,10.489500,90.703030,-3.913000,,4248,1693.434389
Burwood,2021-04-01,100.000000,16,530,72.5,148,11.486500,90.197605,3.167400,,4036,1651.605263
Camden,2020-05-01,100.000000,35,350,87.5,41,24.390200,94.366667,,,606,1183.734694
Camden,2020-06-01,100.000000,32,350,87.5,41,24.390200,94.823529,2.040800,,657,1462.100000
Camden,2020-07-01,100.000000,31,400,88,39,33.333300,94.900000,-12.000000,,763,1852.750000
Camden,2020-08-01,100.000000,35,400,97,41,31.707300,95.151515,6.818200,,695,1616.531915
Camden,2020-09-01,100.000000,35,400,92,42,33.333300,95.243243,8.510600,,812,1769.431373
Camden,2020-10-01,100.000000,35,425,100,43,32.558100,95.117647,3.921600,,814,1754.000000
Camden,2020-11-01,100.000000,35,425,100,42,30.952400,94.882353,0.000000,,841,1801.018868
Camden,2020-12-01,100.000000,35,472,100,43,30.232600,95.028571,0.000000,,930,2250.075472
Camden,2021-01-01,100.000000,35,448,102.5,43,34.883700,94.406250,0.000000,,855,1837.056604
Camden,2021-02-01,100.000000,35,427,100,42,35.714300,94.393939,-1.886800,,744,1734.557692
Camden,2021-03-01,100.000000,35,425,102.5,41,36.585400,94.393939,-1.923100,,838,1971.019608
Camden,2021-04-01,100.000000,35,425,94,38,34.210500,94.967742,-1.960800,,922,1968.800000
Campbelltown,2020-05-01,100.000000,20,999,75,75,26.666700,91.933333,,,1850,1302.677966
Campbelltown,2020-06-01,100.000000,20,999,77.5,75,25.333300,92.288889,0.000000,,1878,1670.516949
Campbelltown,2020-07-01,100.000000,20,999,79,68,27.941200,92.480519,-13.559300,,1661,1529.029412
Campbelltown,2020-08-01,100.000000,25,513,80.5,68,27.941200,92.506849,-8.823500,,1143,945.225806
Campbelltown,2020-09-01,100.000000,25,510,74.5,71,26.760600,92.320988,13.978500,,1597,1218.433962
Campbelltown,2020-10-01,100.000000,25,659,74,67,26.865700,90.779221,-9.434000,,1683,1733.156250
Campbelltown,2020-11-01,100.000000,25,660,78.5,68,26.470600,90.428571,3.125000,,1599,1426.050505
Campbelltown,2020-12-01,100.000000,24,668,83,68,23.529400,89.578947,1.010100,,1807,2049.330000
Campbelltown,2021-01-01,100.000000,21,1795,83,68,25.000000,89.840000,2.000000,,1977,3326.127451
Campbelltown,2021-02-01,99.038500,20,643,83,72,26.388900,90.298701,0.980400,,1720,1965.796117
Campbelltown,2021-03-01,99.038500,22,643,80,70,27.142900,90.556962,0.000000,0.000000,2037,2029.786408
Campbelltown,2021-04-01,99.056600,25,760,83,71,23.943700,90.716049,1.941700,0.000000,1930,2345.285714
Canada Bay,2020-05-01,100.000000,24,1101,110,383,9.921700,92.904762,,,8901,2732.733766
Canada Bay,2020-06-01,100.000000,24,1100,106.5,371,9.703500,92.555160,-4.329000,,8866,2899.712670
Canada Bay,2020-07-01,100.000000,24,1100,110,308,10.064900,92.995690,-18.325800,,7252,2877.664820
Canada Bay,2020-08-01,100.000000,25,1450,103.5,310,10.967700,94.000000,-1.108000,,7167,2866.254902
Canada Bay,2020-09-01,100.000000,25,1450,100,345,9.565200,93.736842,29.131700,,9621,2860.353579
Canada Bay,2020-10-01,100.000000,25,1100,100,343,9.037900,93.987854,-14.099800,,8666,3097.512626
Canada Bay,2020-11-01,100.000000,21,1100,100,322,8.695700,93.703390,-6.060600,,7758,2887.440860
Canada Bay,2020-12-01,100.000000,21,1100,103,322,9.006200,93.136170,2.150500,,8527,3177.392105
Canada Bay,2021-01-01,100.000000,21,1100,100,326,8.589000,93.438298,0.789500,,8360,3106.039164
Canada Bay,2021-02-01,99.738200,21,1100,100,321,8.722700,92.829167,-0.522200,,7965,2965.257218
Canada Bay,2021-03-01,99.736800,21,1100,100,320,8.437500,92.622881,-0.524900,0.000000,8336,3195.606860
Canada Bay,2021-04-01,99.465200,25,1100,107,304,7.565800,93.695652,-1.847000,100.000000,7765,3072.147849
Canterbury-Bankstown,2020-05-01,100.000000,12,1000,71,502,10.159400,90.634615,,,9625,1336.185693
Canterbury-Bankstown,2020-06-01,100.000000,13,999,70,494,10.121500,90.764706,-1.065400,,9995,1437.427692
Canterbury-Bankstown,2020-07-01,100.000000,13,999,75,448,11.383900,90.966480,-11.692300,,8934,1445.858885
Canterbury-Bankstown,2020-08-01,100.000000,13,850,70,429,10.722600,90.597059,-2.961700,,7862,1225.362657
Canterbury-Bankstown,2020-09-01,100.000000,13,650,70,475,11.578900,90.647059,20.107700,,10583,1375.938714
Canterbury-Bankstown,2020-10-01,100.000000,13,650,70,474,11.603400,90.576720,-8.520200,,10499,1519.024510
Canterbury-Bankstown,2020-11-01,100.000000,13,900,70,465,11.828000,91.065395,-3.431400,,9154,1391.353638
Canterbury-Bankstown,2020-12-01,100.000000,13,900,70,457,11.159700,91.054645,1.015200,,11261,1839.879397
Canterbury-Bankstown,2021-01-01,100.000000,13,893,70,452,10.177000,91.094444,-0.502500,,10277,1658.828283
Canterbury-Bankstown,2021-02-01,99.494900,13,1000,70,453,9.933800,91.111732,-0.505100,,9481,1494.576988
Canterbury-Bankstown,2021-03-01,99.488100,13,1000,70,449,10.245000,91.025352,-1.353600,0.000000,9753,1593.677530
Canterbury-Bankstown,2021-04-01,98.960100,13,851,70,431,10.440800,91.334320,-2.058300,100.000000,9206,1501.805604
